question,answer,source,section,type,difficulty,options,correct_index
____ 称为 Bot，2024 年 10 月改版后，将其称为智能体。,初将 Agent,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""此无法定义什么"", ""无论是企业还"", ""此时返回"", ""初将 Agent""]",3.0
"____是工作流编排画布。 
 
图 3-8 
扣子国内版分为基础版与专业版，专业版在基础版的功能之上支持更大的团队规
模，并提供专业、完善的售后服务体系，满足开发者和企业用户的业务需求。",页面右侧,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""页面右侧"", ""工具调用"", ""邮件分类与存储结构的优化"", ""发布过程""]",0.0
"____是衡量 Agent 开发平台对非技术开发者友好性的重要指标。一个优秀的
Agent 开发平台，应当能够提供直观、易于理解的操作页面和流程，以及高度模块化、
即插即用的工具，以便让非技术开发者也能够轻松地开发出功能强大的 Agent。",操作难易度,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,easy,"[""操作难易度"", ""短期记忆"", ""成类意图对应的分支节点"", ""此无法定义什么""]",0.0
____即可将其快速配置到 Agent 中。,需要从插件商店中挑选合适的插件,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",3.3  扣子国内版,multiple_choice,medium,"[""KnowledgeBase"", ""大模型的长期维护和更新"", ""链式逻辑的基本思想"", ""需要从插件商店中挑选合适的插件""]",3.0
"____是插件。图 5-1 所示为扣子的插件商店，有“必应搜索”“链接
读取”“图片理解”“头条搜索”“ByteArtist”“代码执行器”等插件。",先直观感受一下什么,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""KnowledgeBase"", ""先直观感受一下什么"", ""维护和管理这些消息"", ""户对话测试插件""]",1.0
____称为 API（Application Programming Interface，应用程序接口）。,工具的专业名,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,easy,"[""工具的专业名"", ""Ollama"", ""链式逻辑的基本思想"", ""系统架构""]",0.0
"____是一个工具箱，包含具体工具的含义了。 
表 5-1  
名称 
功能 
属性 
图表大师 
该插件基于用户提供的参数，可以生成多种类型的图表，包括饼图、折线图、柱
状图和雷达图。",够很好地理解插件,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,easy,"[""用云服务方式使用Dify"", ""够很好地理解插件"", ""概念简单但"", ""智能体开发不仅""]",1.0
"____是否被调用，以及插件的使用效果。我们也可以通过对话的方式，对插
件的功能、用途、如何使用等进行提问，获得答复。",户对话测试插件,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""户对话测试插件"", ""参数设置"", ""开发人员生成一张图像"", ""年的主流趋势""]",0.0
"____的是视频的发布时间，我们输入“7”，表示搜索近 7 天的视频。通过调整这些
参数，插件可以输出更符合我们需求的结果。",参数设置,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,easy,"[""参数设置"", ""准确识别内容"", ""传统的汽车总装质检流程"", ""智能驾驶""]",0.0
"____是根据不同的设定条件形成的处理分支，链接到不同的下游节点，若设
定的条件成立则运行对应的分支，若设定的条件均不成立则运行“否则”分支。",选择器节点,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""Dify工具开发脚手架又被"", ""缓存机制"", ""选择器节点"", ""意图识别""]",2.0
"____是智能问答 Agent 的关键节点，允许系统基于大模型对用户输入的意
图进行识别，从而引导 Agent 走向不同的逻辑链路。",意图识别节点,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""股票市场"", ""意图识别节点"", ""初将 Agent"", ""缓存机制""]",1.0
"____是大模型通用的文本形式。如果用户需要输出固定格式的内容或者个性
化的需求内容，那么需要进行输出处理，或者利用提示词，或者利用固定模板对输出内
容提出精确的输出要求。",时输出的形式还,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,easy,"[""页面右侧"", ""时输出的形式还"", ""无论是企业还"", ""信息融合""]",1.0
"____是受 AI 技术影响最大的行业之一。国际知名的咨询公司麦肯锡、波士
顿、四大会计事务所等机构，纷纷加大 AI 战略投资与布局，借助 AI 技术增强对自身知
识资产的挖掘和应用，提升咨询顾问的交付效率和质量，并通过推广 AI 数字员工优化
人才结构，减少初级顾问的配置。",知识服务业,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""操作难易度"", ""知识服务业"", ""模型管理平台"", ""意味着它并不""]",1.0
"____是将调研信息作为输入内容，通过专业知识和经验，识别调研信息，
并根据调研信息，按照特定的框架和形式输出调研诊断报告。",整个工作流程,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""通用Agent平台提供给用户"", ""础模型上训练得到衍生模型"", ""任务分解与模块化设计"", ""整个工作流程""]",3.0
"____是对原始资料进行初步的要点提炼、节选、归类等，一方面可以减少投喂给
Agent 的文档篇幅，提高大模型的处理效率，另一方面可以提高大模型的理解能力，控
制输出质量。",文档预处理,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""智能体开发"", ""文档预处理"", ""需要指出"", ""客观评估""]",1.0
"____是 Agent 一个很重要的应用领域，情感陪伴、专业陪练、虚拟客服、模拟
用户都是很有商业价值的使用场景。",角色扮演,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",8.1.2  角色扮演类 Agent 的使用场景,multiple_choice,medium,"[""链式逻辑"", ""智能体开发"", ""如果使用"", ""角色扮演""]",3.0
"____是一个很广泛的应用场景。利用 Agent 不仅可以消除小学生在
与真人外教对话时的羞怯感，让他们更自如地练习对话，迈过英语口语的对话门槛期，
还能够降低家长的教育投入成本，而且练习不受时间和地点限制。",小学生英语口语陪练,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",8.2.1  规划 Agent：小学生英语口语陪练引导老师,multiple_choice,easy,"[""小学生英语口语陪练"", ""运维监测与迭代优化"", ""系统架构"", ""VectorIndex""]",0.0
"____是将复杂任务分解为多个节点，通过一系列节点的运行实现某个任务目
标。",工作流模式,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""数据库与向量存储"", ""工作流模式"", ""发布过程"", ""框架的根本原因""]",1.0
"____是开始节点的用户输入指令。每一个意图都会对应一个分
支的下游节点。",意图识别节点的输入参数,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""习惯性地"", ""业务流程优化"", ""股票市场"", ""意图识别节点的输入参数""]",3.0
"____是一个图片生成工具，汽车信息检索类意图对应的分支节点是
一个叫懂车帝的汽车信息检索工具。",成类意图对应的分支节点,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""任务调度"", ""础模型上训练得到衍生模型"", ""智能驾驶"", ""成类意图对应的分支节点""]",3.0
"____即逝，快速捕捉并响应这些热点对于提升内容的关注度和参与度至
关重要，所以品牌方和个人需要在短时间内将抖音的热点视频转换为小红书的图文笔
记，转换的效率至关重要。",热点的热度往往转瞬,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",multiple_choice,medium,"[""智能翻译系统的部署与优化"", ""数据库就像"", ""多模态大模型和计算机视觉大模型"", ""热点的热度往往转瞬""]",3.0
"____是必要的。 
其次，在面对复杂的工作流程时，我们不应该期望 Agent 能够一次性实现全链条的
智能化，而是应该将任务分解，让 Agent 逐步取代那些重复性高、耗时且容易出错的环
节。",型的复杂度和性能,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",11.4  举一反三：效率办公类Agent的开发小结,multiple_choice,medium,"[""道用户的所有问题"", ""型的复杂度和性能"", ""并行函数调用"", ""LangChain目前仍""]",1.0
比较____的异同。,AI Agent 的类别与特点,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 的类别与特点,fill_in_blank,medium,,
____的原理是什么？,AI Agent 基础原理,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 基础原理,fill_in_blank,medium,,
____由哪些部分组成？,LLM 模块,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LLM 模块,fill_in_blank,medium,,
____包含哪几个模块？,记忆模块,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",记忆模块,fill_in_blank,medium,,
请解释一下____。,提示工程,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",提示工程,fill_in_blank,easy,,
如何理解____？,Swarm,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",Swarm,fill_in_blank,easy,,
请说明____的概念。,定义 AI Agent 的核心指令,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",定义 AI Agent 的核心指令,fill_in_blank,easy,,
如何理解____？,安排 AI Agent 的下一步行动,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",安排 AI Agent 的下一步行动,fill_in_blank,easy,,
____的定义是什么？,AI Agent 的 MCP,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 的 MCP,fill_in_blank,easy,,
概括一下____。,AI Agent 的 MCP,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 的 MCP,fill_in_blank,easy,,
请介绍____的实现方式。,A2A 架构设计实现剖析,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",A2A 架构设计实现剖析,fill_in_blank,easy,,
如何实现____？,ReAct 框架的核心代码实现,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",ReAct 框架的核心代码实现,fill_in_blank,easy,,
怎样使用____？,AI Agent 落地架构选型,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 落地架构选型,fill_in_blank,medium,,
什么是____？,LangGraph 的 State 组件,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LangGraph 的 State 组件,fill_in_blank,easy,,
什么是____？,AI Agent 改变智能客服系统,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 改变智能客服系统,fill_in_blank,medium,,
开发____的步骤有哪些？,AI 原生应用电信开发平台整体架构,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI 原生应用电信开发平台整体架构,fill_in_blank,medium,,
比较____的异同。,多模态 AI Agent 的构建与应用,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",多模态 AI Agent 的构建与应用,fill_in_blank,hard,,
____包含哪几个模块？,AI Agent 主流分类,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 主流分类,fill_in_blank,medium,,
比较____的异同。,AI Agent 的定义与三大能力,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 的定义与三大能力,fill_in_blank,hard,,
请描述____的组成部分。,记忆模块,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",记忆模块,fill_in_blank,medium,,
____包含哪几个模块？,行动模块,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",行动模块,fill_in_blank,medium,,
____在实际中的应用有哪些？,LLM 常见技术或应用范式,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LLM 常见技术或应用范式,fill_in_blank,medium,,
什么是____？,检索增强生成,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",检索增强生成,fill_in_blank,medium,,
如何理解____？,LangGraph,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LangGraph,fill_in_blank,easy,,
简述____的含义。,CrewAI,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",CrewAI,fill_in_blank,easy,,
为什么____很重要？,CrewAI,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",CrewAI,fill_in_blank,medium,,
简述____的含义。,AutoGen,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AutoGen,fill_in_blank,easy,,
什么是____？,OpenAI Agents SDK,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",OpenAI Agents SDK,fill_in_blank,easy,,
____的定义是什么？,定义并优化 AI Agent 的核心工具,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",定义并优化 AI Agent 的核心工具,fill_in_blank,easy,,
为什么要用____？,定义并优化 AI Agent 的核心工具,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",定义并优化 AI Agent 的核心工具,fill_in_blank,medium,,
请解释一下____。,安排 AI Agent 的下一步行动,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",安排 AI Agent 的下一步行动,fill_in_blank,medium,,
请介绍____的实现方式。,多智能体的设计,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",多智能体的设计,fill_in_blank,easy,,
什么是____？,AI Agent 的 MCP,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 的 MCP,fill_in_blank,medium,,
简述____的含义。,AI Agent 通信协同,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 通信协同,fill_in_blank,easy,,
如何搭建____？,A2A 架构设计实现剖析,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",A2A 架构设计实现剖析,fill_in_blank,easy,,
____是如何工作的？,ReAct 框架的核心原理剖析,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",ReAct 框架的核心原理剖析,fill_in_blank,medium,,
____的实现方法是什么？,AI Agent 落地架构选型的必要性,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 落地架构选型的必要性,fill_in_blank,medium,,
如何实现____？,AI Agent 落地架构选型依据,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 落地架构选型依据,fill_in_blank,medium,,
____由哪些部分组成？,提示工程概述及提示词的典型构成,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",提示工程概述及提示词的典型构成,fill_in_blank,easy,,
____的运行机制是怎样的？,工具调用 AI Agent 的核心原理,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",工具调用 AI Agent 的核心原理,fill_in_blank,medium,,
开发____的步骤有哪些？,AI Agent 长短期记忆能力实现,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 长短期记忆能力实现,fill_in_blank,medium,,
简述____的含义。,本地化部署多智能体实战,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",本地化部署多智能体实战,fill_in_blank,easy,,
为什么要用____？,本地化部署多智能体实战,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",本地化部署多智能体实战,fill_in_blank,medium,,
请解释一下____。,本地化部署多智能体,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",本地化部署多智能体,fill_in_blank,medium,,
如何理解____？,企业数据分析的范式革命,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",企业数据分析的范式革命,fill_in_blank,easy,,
比较____的异同。,DeepSeek 模型的架构与核心优势,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",DeepSeek 模型的架构与核心优势,fill_in_blank,medium,,
____可以解决哪些问题？,某电商集团更多 AI 实践在物流领域落地,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",某电商集团更多 AI 实践在物流领域落地,fill_in_blank,easy,,
请解释一下____。,AI Agent 改变智能客服系统,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 改变智能客服系统,fill_in_blank,easy,,
为什么要用____？,AI Agent 改变智能客服系统,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 改变智能客服系统,fill_in_blank,medium,,
请介绍____的实现方式。,智能客服系统的核心实现,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",智能客服系统的核心实现,fill_in_blank,medium,,
开发____的步骤有哪些？,AI 原生应用电信开发平台的典型应用场景,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI 原生应用电信开发平台的典型应用场景,fill_in_blank,easy,,
比较____的异同。,法律框架与合规性,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",法律框架与合规性,fill_in_blank,medium,,
请解释一下____。,LLM赋能智能体的知识推理能⼒,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",LLM赋能智能体的知识推理能⼒,fill_in_blank,easy,,
比较____的异同。,API调⽤与外部系统集成,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",API调⽤与外部系统集成,fill_in_blank,hard,,
比较____的异同。,⽂件与⽂档处理模块的集成,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",⽂件与⽂档处理模块的集成,fill_in_blank,hard,,
比较____的异同。,数据清洗与格式标准化流程设计,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",数据清洗与格式标准化流程设计,fill_in_blank,hard,,
比较____的异同。,缓存机制与查询性能的提升策略,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",缓存机制与查询性能的提升策略,fill_in_blank,medium,,
如何实现____？,利⽤GPT在线开发智能体,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",利⽤GPT在线开发智能体,fill_in_blank,medium,,
请介绍____的实现方式。,配置智能体详细信息以完成智能体开发,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",配置智能体详细信息以完成智能体开发,fill_in_blank,easy,,
比较____的异同。,输⼊输出格式与核⼼模块规划,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",输⼊输出格式与核⼼模块规划,fill_in_blank,hard,,
比较____的异同。,异步任务队列与⾼并发处理架构设计,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",异步任务队列与⾼并发处理架构设计,fill_in_blank,medium,,
比较____的异同。,个性化写作与⽤户偏好定制,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",个性化写作与⽤户偏好定制,fill_in_blank,hard,,
请介绍____的实现方式。,构建 Agent,"AI Agent开发实战 从基础原理到企业级应用 (郑天民) (z-library.sk, 1lib.sk, z-lib.sk)",构建 Agent,fill_in_blank,medium,,
什么是____？,增强检索功能,"AI Agent开发实战 从基础原理到企业级应用 (郑天民) (z-library.sk, 1lib.sk, z-lib.sk)",增强检索功能,fill_in_blank,easy,,
如何搭建____？,实现图像处理,"AI Agent开发实战 从基础原理到企业级应用 (郑天民) (z-library.sk, 1lib.sk, z-lib.sk)",实现图像处理,fill_in_blank,medium,,
请解释一下____。,多 Agent 系统的实战基础,"AI Agent开发实战 从基础原理到企业级应用 (郑天民) (z-library.sk, 1lib.sk, z-lib.sk)",多 Agent 系统的实战基础,fill_in_blank,medium,,
请简述____的工作机制。,多 Agent 系统的实战基础,"AI Agent开发实战 从基础原理到企业级应用 (郑天民) (z-library.sk, 1lib.sk, z-lib.sk)",多 Agent 系统的实战基础,fill_in_blank,medium,,
什么是____？,本章小结,"AI Agent开发实战 从基础原理到企业级应用 (郑天民) (z-library.sk, 1lib.sk, z-lib.sk)",本章小结,fill_in_blank,medium,,
