question,answer,source,section,type,difficulty
简述意图识别节点的含义。,"4.4.9 意图识别节点
意图识别是⼀种⼈⼯智能技术，它能够理解⽤户通过语⾳或⽂字表达
的意图和需求。意图识别节点能够让智能体识别⽤户输⼊的意图，并
将不同的意图流转⾄⼯作流不同的分⽀处理，提⾼⽤户体验，增强智
能体的落地效果。意图识别的作⽤是让智能体理解⽤户通过⾃然语⾔
表达的意图或⽬的。意图识别是智能助⼿的典型能⼒，例如⽤户在对
话中输⼊“我想查看今天的新闻”，其中“查看新闻”为⽤户意图，也就","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",意图识别节点,definition,easy
意图识别节点适用于什么场景？,"4.4.9 意图识别节点
意图识别是⼀种⼈⼯智能技术，它能够理解⽤户通过语⾳或⽂字表达
的意图和需求。意图识别节点能够让智能体识别⽤户输⼊的意图，并
将不同的意图流转⾄⼯作流不同的分⽀处理，提⾼⽤户体验，增强智
能体的落地效果。意图识别的作⽤是让智能体理解⽤户通过⾃然语⾔
表达的意图或⽬的。意图识别是智能助⼿的典型能⼒，例如⽤户在对
话中输⼊“我想查看今天的新闻”，其中“查看新闻”为⽤户意图，也就","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",意图识别节点,application,medium
如何理解画板节点？,"件的数据。例如，在电商平台上，⽤户可以根据商品名称、价格等条
件搜索商品，这就是数据库在后台进⾏数据的筛选和匹配。
4.4.12 画板节点
画板节点是⼀个⽀持⾃定义绘制的图形创作节点。它通常⽤于图⽂排
版和设计场景，例如电商海报、营销Banner、社交媒体博⽂配图等。
如图4-15所⽰，画板节点包括“元素设置”和“画板编辑”，这两部分是
相互关联的。
图4-15 画板节点配置
在画板节点中，你可以","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",画板节点,definition,medium
什么是⻓期记忆节点？,"访问的URL链接。
4.4.13 ⻓期记忆节点
⻓期记忆节点⽤于在⼯作流中召回⻓期记忆中存储的⽤户的个性化信
息。在根据⽤户喜好推荐商品等个性化场景中，通常需要基于⽤户画
像、关键记忆点等个⼈数据进⾏推荐和筛选，从⽽让智能体的效果更
加贴合⽤户需求，提升⽤户体验。
EPUB...ss=""quotation"">· msg：String格式的⽂本，表⽰节点执⾏状态，success表⽰处理成功。","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",⻓期记忆节点,definition,medium
如何理解知识库写⼊节点？,"逻辑更加灵活、清晰且易于管理。
4.4.15 知识库写⼊节点
知识库写⼊节点⽤于向指定的知识库中添加⽂档。在⼯作流执⾏过程
中，⽤户不仅可以从已上传的知识库中检索信息，还可以通过知识库
写⼊节点来主动更新知识库，上传新的⽂档内容。知识库写⼊节点是
智能体或应⽤的⽤户上传知识库的唯⼀途径，它的本质是向⼀个已创
建的知识库上传⽂件。
每次运⾏知识库写⼊节点只能上传⼀个⽂件到知识库，但是你可以通
过批处","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",知识库写⼊节点,definition,medium
简述扣⼦⼯作流实战演练的含义。,"4.5 扣⼦⼯作流实战演练
最近在浏览短视频和⾃媒体内容时，你是否经常看到很多动漫卡通类
或情感⽂案类的图⽂？动漫卡通⼈物搭配有趣的⽂案，看起来既可爱
⼜有趣。从这些图⽚中不难发现，很多内容应该是由AI⽣成的。接下
来，作者将教读者如何使⽤扣⼦制作⼀个简易版的图⽂。
打开扣⼦平台，创建⼀个智能体，然后添加⼀个⼯作流，如图4-16所
⽰。在创建过程中，你需要填写⼯作流的名称和描述。
图4-16 ⼯作","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",扣⼦⼯作流实战演练,definition,medium
简述第5章 基于⼤模型的企业知识库的含义。,"第5章 基于⼤模型的企业知识库
通⽤⼤模型虽然功能强⼤，但它可能会产⽣“幻觉”，其回答问题的准
确性⽆法达到100%。在对模型⽣成⽂本的准确性要求较⾼的应⽤场景
中，例如企业智能客服、⾼精尖科学技术服务等，往往需要通过知识
库来集成私有知识数据，从⽽丰富⼤模型的知识范围并提⾼其回复的
准确性。本章将讲解基于⼤模型的企业知识库的相关知识，并介绍扣
⼦知识库及其在打造汽⻋⾏业智能客服⽅⾯的实战案例。","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",第5章 基于⼤模型的企业知识库,definition,medium
什么是为什么需要企业知识库？,"5.1 为什么需要企业知识库
通⽤⼤模型产⽣“幻觉”的主要原因包括以下⼏点：
(1)训练通⽤⼤模型的数据存在时间限制。如果询问的问题超出了数据
的时间范围，通⽤⼤模型将⽆法给出准确回答。
(2)现有主流的通⽤⼤模型的训练数据主要来源于互联⽹上的公开数
据。对于公司内部的私有数据，⼤模型⽆法感知，因此在专有知识领
域的理解能⼒较差。
所有AI模型的底层原理都基于数学概率，⼤模型也不例外。因此，⼤
模","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",为什么需要企业知识库,definition,easy
如何理解⼤模型微调真的有必要吗？,"5.2 ⼤模型微调真的有必要吗
企业的专有知识库往往包含⼤量⾏业特定的术语、产品信息、内部流
程等内容，这些是预训练模型在训练时未必涉及的部分。因此，我们
需要对⼤模型进⾏微调，将企业的专有数据输⼊这个预训练模型中进
⾏重新训练。通过在特定数据集上重新训练模型的部分或全部参数，
使其能够更好地理解和⽣成与企业相关的内容。
但是经过充分训练的语⾔模型，在通⽤能⼒⽅⾯已经训练得很好了，
⽐如语法、语序","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",⼤模型微调真的有必要吗,definition,easy
如何理解知识库的理论基础RAG？,"5.3 知识库的理论基础RAG
RAG（Retrieval-Augmented Generation，检索增强⽣成）是⼀种结合信
息检索和⽂本⽣成的技术，⽤来向⼤模型补充专有知识。它可以从⼀
个⼤型知识库中检索与输⼊相关的信息，并将这些信息作为上下⽂和
问题⼀起输⼊给⼤模型进⾏处理。通过这种⽅式，RAG可以帮助⼤模
型⽣成更加准确、相关和丰富的回答。简单来说，RAG就是先检索后
⽣成，让⼤模型“有","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",知识库的理论基础RAG,definition,medium
请评价RAG的优势的优缺点。,"如图5-4所⽰，应⽤阶段的过程简⽽⾔之就是，根据⽤户输⼊问题，在
企业知识库中寻找关联信息⽚段，⼀起整合⽣成新的prompt输⼊⼤模
型，再让⼤模型输出结果。
图5-4 知识库的应⽤阶段
5.3.2 RAG的优势
在企业环境中，对于⼤模型的准确性、数据隐私安全以及信息更新速
度有着极⾼的要求。⽽RAG框架恰恰能够很好地满⾜这些需求。
(1)准确性⽅⾯：RAG通过结合基于检索的⽅法与先进的⽣成式AI","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",RAG的优势,pros_cons,medium
简述扣⼦知识库介绍的含义。,"5.4 扣⼦知识库介绍
5.4.1 扣⼦知识库概述
扣⼦的知识库功能⽀持上传和存储外部知识内容，并提供了多种检索
能⼒。它⽀持从多种数据源（例如本地⽂档、在线数据、⻜书⽂档
等）上传⽂本和表格数据。上传数据后，扣⼦可将⽂档内容⾃动切分
为⼀个个内容⽚段进⾏存储，同时⽀持⽤户⾃定义内容分⽚规则，例
如通过分段标识符、字符⻓度等⽅式进⾏内容分割。另外，扣⼦的知
识库功能还提供了多种检索策略来对存储的内","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",扣⼦知识库介绍,definition,easy
请说明在智能体中使⽤知识库的概念。,"越⾼，⼤模型⽣成的回复内容的准确性和可⽤性也就越⾼。
EPUB...on"">步骤04 优化回复效果：你需要通过测试来不断优化回复的
内容效果。
5.4.3 在智能体中使⽤知识库","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",在智能体中使⽤知识库,definition,easy
什么是在⼯作流中使⽤知识库？,"在项⽬开发⻚⾯中创建⼀个智能体，打开“编排”⻚⾯，定位到“知
识”功能区域，如图5-5所⽰。然后单击对应的添加知识库按钮，添加
要使⽤的知识库内容，⽐如⽂本、表格、照⽚等。
图5-5 在智能体中直接添加知识库
5.4.4 在⼯作流中使⽤知识库
在扣⼦应⽤的业务流程中，检索知识库的时机与⽅式由⼯作流的节点
编排决定。
· 如果⽤户需要在知识库中检索知识，可以在⼯作流中添加知识库检
索节点。⼯作流运⾏","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",在⼯作流中使⽤知识库,definition,easy
案例实战：打造汽⻋⾏业智能客服在实际中的应用有哪些？,"5.5 案例实战：打造汽⻋⾏业智能客服
在本节中，我们想要创建⼀个AI客服，⽤于介绍汽⻋领域的⾏业知
识，因此需要利⽤知识库的能⼒。⾸先，梳理汽⻋⾏业知识，形成
FAQ（常⻅问题解答）。然后，将其上传到知识库中。最后，将知识
库配置到AI Agent智能体中，使其能够调⽤知识库的内容作为回复。
完成以上步骤之后，当⽤户咨询Agent有关汽⻋领域知识的问题时，
Agent将根据FAQ的内容进⾏回答。","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",案例实战：打造汽⻋⾏业智能客服,application,medium
开发创建⼯作流的步骤有哪些？,"图5-13 继续添加知识
5.5.2 创建⼯作流
接下来创建⼀个⼯作流，⽤来搭建在线客服问答的整体流程。⼯作流
可以理解为：通过选择不同的节点把任务拆解为多个步骤，让智能体
按照预设⼯作流程对任务进⾏分步处理，从⽽提升对复杂任务的处理
效率。","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",创建⼯作流,method,medium
企业知识库落地存在的问题及解决思路在实际中的应用有哪些？,"5.6 企业知识库落地存在的问题及解决思路
1.知识库构建与维护
问题：RAG依赖⾼质量的知识库，但企业内部知识库可能存在数据不
完整、更新滞后、格式不统⼀等问题。统⼀标准是最困难的，经常会
出现业务⽅的定义前后⽭盾、提供的知识库数据有歧义等问题，数据
清洗和核对是⽐较有挑战性的任务。
影响：模型⽆法检索到准确和相关的信息，⽣成的内容可能与实际业
务需求不符。
建议：对于企业内部应⽤，⼀定要跟业务","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",企业知识库落地存在的问题及解决思路,application,easy
提⽰词的⼯作原理的运行机制是怎样的？,"6.1 提⽰词的⼯作原理
要理解提⽰词的⼯作原理，我们需要先了解⼀下当前主流的AI模型
——⼤型语⾔模型的基本架构。以GPT系列模型为例，它们本质上是
⼀个巨⼤的神经⽹络，通过在海量⽂本数据上的预训练，学习⾃然语
⾔的统计规律和语义特征。
当我们给GPT模型输⼊⼀个提⽰词时，模型会将其编码为⼀个⾼维向
量，然后基于这个向量在神经⽹络中进⾏前向传播，预测下⼀个最可
能出现的词。通过这种⾃回归(Aut","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",提⽰词的⼯作原理,principle,medium
简述编写有效提⽰词的技巧的含义。,"6.3 编写有效提⽰词的技巧
在搭建智能体或配置⼯作流中的⼤模型节点时，⾸要步骤是编写提⽰
词，明确设定智能体和⼤模型节点的⾝份和⽬标。⼤语⾔模型会根据
⾃⼰对提⽰词的理解来响应⽤户问题。⼀个好的提⽰词，可以显著提
升⼤语⾔模型的输出质量。本节将逐步拆解编写提⽰词的技巧，并通
过举例进⾏说明。
1.明确⽬标和任务
编写提⽰词的第⼀步是明确智能体或⼤模型节点的⽬标和任务。问问
⾃⼰，这个智能体需要完","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",编写有效提⽰词的技巧,definition,easy
扣⼦平台设置提⽰词案例适用于什么场景？,"6.4 扣⼦平台设置提⽰词案例
搭建智能体或配置⼯作流的⼤模型节点都需要设置提⽰词，你可以根
据⽬标业务的需要直接编写提⽰词，也可以套⽤提⽰词模板、引⽤提
⽰词资源或通过AI⾃动⽣成和优化提⽰词。
6.4.1 资源库创建提⽰词
⾸先，登录扣⼦官⽅⽹站，进⼊⼯作空间，单击“资源库”，在⻚⾯右
上⾓找到“+资源”按钮，然后在菜单中单击“提⽰词”来创建提⽰词，如
图6-1所⽰。
图6-1 资源库创建提⽰","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",扣⼦平台设置提⽰词案例,application,easy
如何理解为智能体设置提⽰词？,"6.4.2 为智能体设置提⽰词
智能体是基于⼤语⾔模型进⾏业务编排与能⼒拓展的AI应⽤。搭建智
能体的第⼀步是设置提⽰词，即⼈设与回复。本⼩节将讲解在扣⼦平
台为智能体设置提⽰词的⽅法。
⾸先，登录扣⼦官⽅⽹站，依次单击“⼯作空间”→“项⽬开发”。单击
⻚⾯右上⾓的“+创建”按钮，弹出“创建”⻚⾯。选择创建智能体并单
击“创建”按钮，如图6-4所⽰。
图6-4 创建智能体
在弹出的“创建智能体”窗","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",为智能体设置提⽰词,definition,medium
为⼯作流设置提⽰词的定义是什么？,"图6-9 提⽰词修改
6.4.3 为⼯作流设置提⽰词
如果⼯作流中使⽤了⼤模型节点，你需要为⼤模型节点设置相应的提
⽰词，指导⼤模型执⾏相应任务。
进⼊扣⼦平台⻚⾯，分别单击“⼯作空间”→“资源库”，在资源库⻚
⾯，选择⽬标⼯作流或创建⼀个新⼯作流。如图6-10所⽰，选择我们
之前创建的⽬标⼯作流SH_AI_file_QA，或者读者可以选择⾃⼰创建
的⼯作流，我们需要在这个⼯作流的⼤模型节点中设置","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",为⼯作流设置提⽰词,definition,easy
请说明AI⽣成提⽰词的概念。,"中，进⾏提⽰词的撰写或修改。
图6-11 撰写或修改系统提⽰词
6.4.4 AI⽣成提⽰词
你可以通过⾃然语⾔告诉AI你希望编写或优化的提⽰词，⼤语⾔模型
会根据你的描述⾃动⽣成提⽰词。如图6-12所⽰，在智能体的“⼈设与
回复逻辑”区域内，单击“⾃动优化提⽰词”图标，在弹出的⽂本框中，
输⼊你希望编写或优化的提⽰词，例如“根据⽤户的出⾏计划，提供相
应的天⽓、穿搭以及路线等建议”，单击“发送”图","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",AI⽣成提⽰词,definition,easy
如何理解第7章 扣⼦数据库实战？,"第7章 扣⼦数据库实战
7.1 扣⼦数据库概述
数据库和变量⼀样，都属于永久存储的⼯具。在与AI Bot沟通的过程
中，很多信息需要持久保存。例如，⽤户在询问诸多信息后，智能体
需要保存⽤户的联系信息，如⼿机号、微信名等。这些信息⽆法仅保
存在变量中，因为变量通常⽤于保存单个信息，⽽数据库则适合保存
复杂的信息。此外，将信息保存到数据库中，也便于系统对⽤户的后
续查询进⾏精准匹配。
扣⼦平台允许⽤","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",第7章 扣⼦数据库实战,definition,easy
第7章 扣⼦数据库实战的目的是什么？,"第7章 扣⼦数据库实战
7.1 扣⼦数据库概述
数据库和变量⼀样，都属于永久存储的⼯具。在与AI Bot沟通的过程
中，很多信息需要持久保存。例如，⽤户在询问诸多信息后，智能体
需要保存⽤户的联系信息，如⼿机号、微信名等。这些信息⽆法仅保
存在变量中，因为变量通常⽤于保存单个信息，⽽数据库则适合保存
复杂的信息。此外，将信息保存到数据库中，也便于系统对⽤户的后
续查询进⾏精准匹配。
扣⼦平台允许⽤","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",第7章 扣⼦数据库实战,reason,medium
请介绍创建扣⼦数据库的实现方式。,"7.2 创建扣⼦数据库
扣⼦平台提供了类似传统软件开发中数据库的功能，允许⽤户以表格
结构存储数据。这种数据存储⽅式⾮常适合组织和管理结构化数据，
例如客户信息、产品列表、订单记录等。你可以根据⾃⼰的业务需求
创建数据库以及数据表，定义表字段和数据类型，并设置相应的规
则，以确保数据的安全性和完整性。
⾸先，登录扣⼦官⽅⽹站，进⼊⼯作空间。如图7-2所⽰，在⻚⾯顶部
的空间列表中，选择“个⼈空间”","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",创建扣⼦数据库,method,medium
请说明使⽤扣⼦数据库的概念。,"7.3 使⽤扣⼦数据库
扣⼦⽀持在提⽰词中通过⾃然语⾔对数据表进⾏操作，也⽀持在⼯作
流中添加数据库相关的节点，调⽤⼯作流来执⾏数据库操作。⽤户可
通过⾃然语⾔与智能体进⾏交互来插⼊或查询数据库中的数据。智能
体会根据⽤户的输⼊⾃动创建⼀条新的记录，并将其存储在数据库
中。同样，⽤户也可以使⽤⾃然语⾔查询数据库中的数据，智能体会
根据⽤户的查询条件从数据库中检索相应的数据并返回给⽤户。为了
⽅便演","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",使⽤扣⼦数据库,definition,medium
为什么需要使⽤扣⼦数据库？,"7.3 使⽤扣⼦数据库
扣⼦⽀持在提⽰词中通过⾃然语⾔对数据表进⾏操作，也⽀持在⼯作
流中添加数据库相关的节点，调⽤⼯作流来执⾏数据库操作。⽤户可
通过⾃然语⾔与智能体进⾏交互来插⼊或查询数据库中的数据。智能
体会根据⽤户的输⼊⾃动创建⼀条新的记录，并将其存储在数据库
中。同样，⽤户也可以使⽤⾃然语⾔查询数据库中的数据，智能体会
根据⽤户的查询条件从数据库中检索相应的数据并返回给⽤户。为了
⽅便演","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",使⽤扣⼦数据库,reason,medium
管理扣⼦数据库的定义是什么？,"7.4 管理扣⼦数据库
7.4.1 管理数据表
数据表创建完成后，可以管理数据库中的数据表，包括管理表结构和
表数据。⾸先，登录扣⼦官⽅⽹站，依次单击“⼯作空间”→“资源
库”，在“资源库”⻚⾯单击要使⽤的⽬标数据表，如图7-10所⽰。
图7-10 选择数据表
⽤户可以在打开的visitor_registration⻚⾯上查看数据表结构，如图7-11
所⽰。从这个⻚⾯可以看到存储字段名称、描述、数","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",管理扣⼦数据库,definition,easy
请说明删除数据表的概念。,"辑其他成员创建的数据库。
7.4.3 删除数据表
如图7-19所⽰，在“资源”⻚⾯，找到⽬标数据表visitor_registration，然
后⿏标移动到右侧操作列的，在出现的菜单中单击“删除”。
图7-19 单击“删除”
在弹出的“确认删除”对话框中，如图7-20所⽰，单击“确定”按钮，即
可删除数据库资源。
图7-20 确认删除⻚⾯
仅数据库的所有者⽀持删除⾃⼰创建的数据库，团队所有者、管理","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",删除数据表,definition,easy
请总结删除数据表的核心要点。,"辑其他成员创建的数据库。
7.4.3 删除数据表
如图7-19所⽰，在“资源”⻚⾯，找到⽬标数据表visitor_registration，然
后⿏标移动到右侧操作列的，在出现的菜单中单击“删除”。
图7-19 单击“删除”
在弹出的“确认删除”对话框中，如图7-20所⽰，单击“确定”按钮，即
可删除数据库资源。
图7-20 确认删除⻚⾯
仅数据库的所有者⽀持删除⾃⼰创建的数据库，团队所有者、管理","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",删除数据表,summary,easy
请辨析扣⼦数据库和传统数据库的区别。,"7.5 扣⼦数据库和传统数据库的区别
对于轻量级的数据存储、访问，特别是结构化数据，扣⼦数据库是相
当不错的选择，但千万别把扣⼦数据库和传统数据库划等号。
在扣⼦平台上，每个智能体最多可添加3个数据表，每个⼯作流数据库
节点最多可添加1个数据表。每个数据表最多可添加20个字段。在作者
看来，这可不是扣⼦的产品在给开发者找⿇烦，⽽是担⼼开发者⾛偏
了⽅向。
扣⼦的定位是AI应⽤开发平台，⽽不是企业级","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",扣⼦数据库和传统数据库的区别,comparison,medium
如何实现扣⼦数据库实战案例：搭建AI登记助⼿？,"7.6 扣⼦数据库实战案例：搭建AI登记助⼿
在当今的数字化⽣活场景中，⽆论是拜访公司还是进⼊⼩区，登记信
息似乎已经成为⼀种常态。尤其是拜访公司，即便开着⻋，也常常需
要下⻋登记信息才能进⼊，这⽆疑给我们的出⾏增添了不少⿇烦。
对于程序员来说，创建⼀套电⼦登记信息表或许只是⼩菜⼀碟，但对
于不懂编程、不熟悉技术操作的普通⼈来说，想要独⽴完成⼀套电⼦
登记信息表的制作，简直难于上⻘天。
本节将通过","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",扣⼦数据库实战案例：搭建AI登记助⼿,method,medium
怎样使用创建智能体？,"7.6.2 创建智能体
让我们开始创建智能体。⾸先，登录扣⼦官⽅⽹站，进⼊⼯作空间。
然后依次单击“⼯作空间”→“项⽬开发”，在⻚⾯右上⾓单击“+创建”按
钮，打开“创建智能体”⻚⾯。在“创建智能体”⻚⾯，填写智能体基本
信息，如图7-22所⽰，智能体名称为“AI登记助⼿”（20字以内），智
能体功能介绍为“记录访客信息”。
图7-22 创建智能体
7.6.3 智能体配置
创建智能体后，考虑需要登","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",创建智能体,method,medium
第8章 实战案例：图⽂混合的⽕适用于什么场景？,"第8章 实战案例：图⽂混合的⽕
爆推⽂⽣成器
在当今的互联⽹环境下，图⽂内容创作在各⼤平台展现出了惊⼈的热
度与影响⼒，尤其是⼩红书、公众号等主流平台，优质的图⽂内容不
仅能带来可观的流量，更能实现多元化的商业变现。这使得越来越多
的创作者投⾝于图⽂创作领域。然⽽，要想在这⼀竞争激烈的赛道中
脱颖⽽出，持续产出⾼质量的图⽂内容⽆疑是⼀项艰巨的任务，它对
创作者的创作能⼒、时间管理以及素材积累等⽅⾯","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",第8章 实战案例：图⽂混合的⽕,application,medium
图⽂⼯作流设计思路的实现方法是什么？,"8.1 图⽂⼯作流设计思路
我们的⼯作流设计思路主要分为以下4个核⼼步骤（⻅图8-1）：
01 内容提取：从⽬标平台获取优质⽂案作为参考。
02 ⽂案改写：利⽤AI进⾏创意重写，⽣成新标题和⽂案。
03 配图⽣成：通过AI⽣成与⽂案匹配的图⽚。
04 排版组合：将⽂案和图⽚进⾏美化排版。
图8-1 ⼯作流设计思路
© 未经授权禁⽌转载 获取更多电⼦书：https://t.me/+WwC4dCWvX","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",图⽂⼯作流设计思路,method,medium
如何搭建创建基础⼯作流？,"8.2 创建基础⼯作流
让我们开始创建⼯作流。⾸先登录扣⼦官⽅⽹站，进⼊⼯作空间，然
后依次单击“⼯作空间”→“资源库”，打开“资源库”⻚⾯，单击“+资
源”按钮，在出现的快捷菜单中单击“⼯作流”，创建⼀个新的⼯作流，
如图8-2所⽰。
图8-2 在⼯作空间“资源库”中单击“+资源”创建⼯作流
由于扣⼦当前正处于快速更新迭代的状态，其⽤户界⾯可能会随版本
更新⽽产⽣变化。然⽽，各个功能的⼤致⼊⼝位","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",创建基础⼯作流,method,easy
配置⽂案获取模块由哪些部分组成？,"8.3 配置⽂案获取模块
⾸先单击“开始”节点，在弹出的配置⾯板中配置输⼊变量，如图8-5所
⽰，变量名命名为url，类型是String。接下来，单击“添加节点”按钮，
弹出“添加节点”⻚⾯，如图8-6所⽰，单击要添加的节点“插件”。
图8-5 开始节点配置
图8-6 添加节点
这时弹出“添加插件”对话框，如图8-7所⽰，在⻚⾯左上⾓的搜索框中
搜索“⼩红书笔记提取”，在右边的搜索结果列表中单击“","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置⽂案获取模块,structure,medium
简述⽂案⽣成测试的含义。,"8.5 ⽂案⽣成测试
⾄此，我们已经完成了⽂案⽣成部分的配置。将“⼤模型”节点和“结
束”节点连接起来，设置输出变量参数output引⽤“⼤模型”节点的
output，“结束”节点配置和节点连线如图8-11所⽰。单击⼯作流编辑界
⾯下⽅的“试运⾏”按钮，输⼊⼀个⼩红书⽂章链接，就能看到AI⽣成
的新标题和⽂案，效果如图8-12所⽰。
图8-11 结束节点配置与节点连线
图8-12 试运⾏及预览
©","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",⽂案⽣成测试,definition,medium
配置图⽚⽣成模块由哪些部分组成？,"8.6 配置图⽚⽣成模块
本节继续配置图⽚⽣成模块。⾸先需要添加⼀个Prompt提⽰词⽣成节
点，在图⽚⽣成环节，准确的Prompt提⽰词对于最终成图的质量起着
决定性作⽤。我们需要再添加⼀个专门的⼤模型节点，⽤于将⽂案内
容转换为优质的绘画提⽰词。
因此，我们继续在⼯作流编辑界⾯中添加⼀个新的⼤模型节点，⽤于
⽣成提⽰词。把上⼀个⽤于改写⽂案的“⼤模型”节点与“⼤模型_1”节
点相连。“⼤模型_","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置图⽚⽣成模块,structure,medium
配置“结束”节点的定义是什么？,"8.7 配置“结束”节点
为了确保案例的⼯作流能够正确输出结果，需要在结束节点中配置相
应的变量。结束节点是⼯作流的最终节点，⽤于返回⼯作流运⾏后的
结果。结束节点⽀持两种返回⽅式，即返回变量和返回⽂本。
· 返回变量模式：⼯作流运⾏结束后会以JSON格式输出所有返回参
数，如果⼯作流直接绑定了智能体，在对话中触发了⼯作流时，⼤模
型会⾃动总结JSON格式的内容，并以⾃然语⾔回复⽤户。
· 返回⽂","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“结束”节点,definition,easy
